Evasion,Adulto_Mayor,Pareja,Dependientes,Meses_Contrato,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargo_Mensual,Puntaje_Inseguro,Total_Servicios
1,1,1,0,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.55,3.0,2.0
1,0,0,0,64,1,Fiber optic,0,1,0,1,1,1,One year,1,Credit card (automatic),105.65,2.0,5.0
0,0,0,1,39,No phone service,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),54.85,2.0,4.0
0,0,1,1,46,0,DSL,1,0,1,1,0,0,One year,0,Mailed check,56.9,1.0,4.0
1,0,1,0,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,90.75,4.0,3.0
0,0,1,1,72,1,DSL,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),84.2,1.0,6.0
0,0,1,1,33,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.8,4.0,1.0
0,0,0,0,32,1,Fiber optic,1,0,1,1,1,1,One year,1,Bank transfer (automatic),109.55,1.0,6.0
0,0,0,0,5,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.5,4.0,1.0
1,0,0,0,2,No phone service,DSL,0,0,0,0,1,1,Month-to-month,1,Electronic check,45.25,4.0,2.0
1,0,0,0,2,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,80.55,4.0,2.0
0,1,0,0,17,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),82.65,3.0,2.0
0,0,0,1,5,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.35,4.0,1.0
0,0,0,0,10,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,24.0,4.0,1.0
0,0,0,0,1,1,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,50.15,4.0,1.0
0,0,0,0,41,1,DSL,0,1,0,0,0,0,One year,1,Credit card (automatic),56.3,3.0,2.0
1,0,0,0,63,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),99.9,3.0,4.0
0,0,1,1,22,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.15,4.0,1.0
0,0,0,0,47,0,Fiber optic,1,0,1,1,1,1,One year,1,Electronic check,103.7,1.0,6.0
0,0,0,0,65,1,DSL,0,1,1,1,0,1,Two year,1,Credit card (automatic),74.2,1.0,5.0
0,1,0,0,8,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),100.15,3.0,4.0
1,0,0,1,10,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,95.2,4.0,3.0
1,0,0,0,9,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),77.65,4.0,2.0
0,0,0,0,35,0,Fiber optic,1,0,0,1,0,1,One year,1,Electronic check,89.2,2.0,4.0
1,1,0,0,2,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.7,3.0,2.0
0,1,1,0,8,No phone service,DSL,0,1,1,0,0,1,Month-to-month,1,Mailed check,43.35,2.0,3.0
0,0,1,0,24,No phone service,DSL,0,0,1,0,0,0,Month-to-month,0,Electronic check,29.1,3.0,1.0
0,0,0,0,36,No phone service,DSL,1,1,1,1,0,1,Two year,1,Mailed check,53.1,0.0,5.0
0,0,1,0,67,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),111.3,1.0,6.0
1,1,1,0,15,1,Fiber optic,0,0,1,1,0,0,Month-to-month,1,Electronic check,83.05,2.0,3.0
0,0,0,1,0,1,DSL,1,1,0,1,0,0,Two year,1,Bank transfer (automatic),61.9,1.0,4.0
1,0,0,0,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,0,Electronic check,78.05,4.0,2.0
1,1,1,0,24,No phone service,DSL,1,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),39.1,3.0,2.0
0,0,0,0,21,No phone service,DSL,0,1,0,1,0,0,Month-to-month,1,Mailed check,36.0,2.0,2.0
0,0,0,0,11,1,DSL,0,0,0,0,0,1,Month-to-month,1,Mailed check,58.95,4.0,2.0
0,1,0,0,50,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.95,2.0,5.0
0,0,0,0,13,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.45,4.0,1.0
0,0,1,1,64,1,Fiber optic,1,1,0,1,1,1,Two year,0,Bank transfer (automatic),110.3,1.0,6.0
0,0,0,0,3,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,80.35,4.0,2.0
0,0,0,1,71,1,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),85.45,2.0,3.0
0,0,0,0,9,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.15,4.0,1.0
0,0,0,0,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Mailed check,83.4,1.0,4.0
0,0,0,0,3,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.5,4.0,1.0
1,0,1,0,53,No phone service,DSL,0,1,1,1,1,1,One year,1,Electronic check,60.45,1.0,5.0
0,0,1,1,46,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,4.0,1.0
0,0,1,1,63,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Credit card (automatic),80.3,2.0,3.0
0,0,1,0,71,1,Fiber optic,1,0,1,1,1,1,Two year,1,Credit card (automatic),108.55,1.0,6.0
0,1,1,0,5,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.35,4.0,1.0
0,0,1,1,65,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),25.3,4.0,1.0
0,0,0,0,42,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,100.3,3.0,4.0
0,0,0,0,3,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Mailed check,74.75,3.0,2.0
0,0,0,0,24,0,DSL,1,0,0,1,0,0,Month-to-month,0,Electronic check,54.95,2.0,3.0
0,0,0,1,66,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.55,4.0,1.0
0,0,0,0,25,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.8,4.0,1.0
0,0,1,1,56,1,Fiber optic,0,1,1,1,0,1,One year,1,Credit card (automatic),99.75,1.0,5.0
0,1,1,0,52,1,Fiber optic,0,1,1,0,1,1,One year,1,Bank transfer (automatic),105.1,2.0,5.0
0,0,1,1,23,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.1,4.0,1.0
0,0,1,0,25,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,26.8,4.0,1.0
0,0,0,0,32,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,101.35,3.0,4.0
1,0,0,0,16,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,50.15,3.0,2.0
0,1,1,1,23,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),88.45,2.0,4.0
0,0,0,0,26,No phone service,DSL,1,0,0,1,1,1,One year,0,Credit card (automatic),54.55,2.0,4.0
0,0,1,0,49,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.05,4.0,1.0
0,0,0,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,4.0,1.0
1,1,0,0,5,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.25,4.0,1.0
0,0,0,0,50,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,4.0,1.0
1,0,0,0,13,No phone service,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),45.55,2.0,3.0
0,0,1,1,28,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.9,4.0,1.0
0,0,0,1,49,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.45,4.0,1.0
0,0,0,0,18,1,Fiber optic,0,0,1,1,0,1,Month-to-month,1,Bank transfer (automatic),95.05,2.0,4.0
0,0,1,1,72,1,DSL,1,0,1,0,1,0,Two year,1,Bank transfer (automatic),71.45,2.0,4.0
0,0,1,1,37,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.25,4.0,3.0
0,1,1,0,7,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.8,3.0,1.0
0,0,1,0,45,1,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),81.4,3.0,2.0
0,0,0,0,19,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),45.0,4.0,1.0
0,0,0,0,29,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.8,4.0,1.0
0,0,1,1,61,0,Fiber optic,0,1,1,1,1,1,One year,0,Credit card (automatic),103.9,1.0,6.0
0,0,0,0,4,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.9,4.0,1.0
0,0,0,0,38,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,103.65,2.0,5.0
0,0,0,0,2,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.9,4.0,1.0
1,0,0,0,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,45.05,4.0,1.0
0,0,0,0,15,No phone service,DSL,1,1,1,1,0,0,One year,0,Mailed check,45.9,0.0,4.0
1,0,0,0,71,1,Fiber optic,1,0,1,1,1,1,Two year,1,Electronic check,108.05,1.0,6.0
1,0,1,0,52,0,Fiber optic,1,0,0,0,1,0,Month-to-month,0,Electronic check,84.1,3.0,3.0
1,0,0,0,2,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.65,4.0,1.0
1,1,1,0,24,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,93.15,3.0,4.0
0,0,0,0,43,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.35,4.0,1.0
1,0,0,0,2,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),46.05,4.0,1.0
0,0,0,0,24,0,DSL,0,1,0,0,0,0,Month-to-month,1,Mailed check,49.7,3.0,2.0
1,1,1,0,41,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.8,3.0,4.0
1,0,1,1,14,1,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,87.25,3.0,3.0
0,0,1,0,64,0,DSL,0,1,1,1,0,1,Two year,1,Mailed check,68.3,1.0,5.0
0,0,1,1,72,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,4.0,1.0
0,0,0,0,27,0,DSL,0,1,0,1,0,0,Month-to-month,1,Mailed check,56.15,2.0,3.0
0,1,0,0,35,0,DSL,0,0,1,1,1,1,One year,1,Electronic check,73.0,2.0,5.0
0,0,0,1,1,0,DSL,0,0,0,1,0,1,Month-to-month,1,Mailed check,59.55,3.0,3.0
1,0,0,0,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,68.65,4.0,1.0
1,1,0,0,43,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Mailed check,89.55,4.0,3.0
0,1,1,0,53,1,Fiber optic,0,0,0,0,1,1,One year,1,Credit card (automatic),95.85,4.0,3.0
1,0,0,1,17,1,DSL,0,0,1,0,0,0,One year,1,Mailed check,55.85,3.0,2.0
1,1,0,0,20,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Credit card (automatic),85.8,4.0,2.0
0,0,0,0,6,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.15,4.0,1.0
0,0,0,1,1,No phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.7,4.0,0.0
0,0,0,0,61,1,DSL,1,1,1,1,1,1,Two year,0,Electronic check,89.65,0.0,7.0
1,1,0,0,4,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,89.2,3.0,3.0
0,0,0,0,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,4.0,1.0
1,0,0,0,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,80.5,4.0,2.0
0,0,1,1,68,1,Fiber optic,0,1,0,1,0,0,One year,1,Bank transfer (automatic),83.65,2.0,3.0
1,0,0,0,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,79.25,4.0,2.0
1,0,0,0,2,1,Fiber optic,0,0,1,0,0,0,Month-to-month,0,Mailed check,80.6,3.0,2.0
1,0,0,0,45,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.3,3.0,3.0
1,0,1,1,40,1,Fiber optic,0,0,1,1,0,0,Month-to-month,1,Electronic check,84.85,2.0,3.0
0,0,0,0,34,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,105.1,1.0,6.0
0,0,0,0,13,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,4.0,2.0
1,0,0,0,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.25,4.0,1.0
0,0,1,1,35,No phone service,DSL,0,0,0,1,1,0,One year,0,Mailed check,40.9,3.0,2.0
0,0,1,1,35,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.9,4.0,1.0
0,1,1,0,72,1,Fiber optic,1,1,1,0,0,1,Two year,1,Credit card (automatic),102.65,1.0,5.0
0,1,1,0,2,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,74.2,3.0,2.0
0,0,0,0,12,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.45,4.0,1.0
0,0,1,1,69,0,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),75.75,0.0,6.0
0,1,0,0,57,1,Fiber optic,0,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),104.9,2.0,5.0
1,0,1,0,35,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.3,4.0,1.0
0,0,1,1,69,1,DSL,1,0,1,1,1,1,Two year,0,Bank transfer (automatic),86.9,1.0,6.0
1,0,1,0,63,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,107.5,2.0,5.0
0,0,0,1,41,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.2,4.0,1.0
0,0,1,1,47,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),21.3,4.0,1.0
1,0,1,0,72,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),117.8,0.0,7.0
0,0,0,0,59,1,DSL,1,1,1,1,0,1,One year,0,Credit card (automatic),79.85,0.0,6.0
0,0,1,1,18,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,4.0,1.0
1,0,1,0,25,No phone service,DSL,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),34.0,4.0,1.0
0,0,1,0,40,0,Fiber optic,0,1,1,0,0,0,One year,0,Electronic check,80.8,2.0,3.0
0,0,0,0,2,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.8,4.0,1.0
1,0,1,1,21,No phone service,DSL,1,0,1,0,1,1,One year,1,Electronic check,55.95,2.0,4.0
0,0,1,1,68,1,Fiber optic,0,1,0,0,1,1,One year,1,Credit card (automatic),101.05,3.0,4.0
0,1,1,0,70,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.55,4.0,1.0
0,0,1,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.55,4.0,1.0
0,0,1,0,72,1,Fiber optic,1,1,0,0,0,0,Two year,1,Bank transfer (automatic),84.05,2.0,3.0
0,0,1,0,2,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),70.4,4.0,1.0
0,0,1,1,11,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.6,4.0,1.0
0,0,1,1,56,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.95,4.0,1.0
0,0,0,0,36,No phone service,DSL,0,1,0,1,0,0,Month-to-month,1,Bank transfer (automatic),34.85,2.0,2.0
0,0,0,0,37,1,DSL,1,1,1,1,1,1,One year,1,Bank transfer (automatic),90.6,0.0,7.0
1,0,1,0,39,No phone service,DSL,1,0,1,0,1,1,Month-to-month,0,Electronic check,55.9,2.0,4.0
0,0,0,1,18,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),80.55,3.0,2.0
0,0,0,0,19,1,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Electronic check,84.75,2.0,3.0
1,0,0,0,4,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),76.65,3.0,2.0
0,0,1,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),69.95,4.0,1.0
0,1,1,0,38,0,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Electronic check,83.45,3.0,3.0
0,0,1,1,0,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.7,4.0,1.0
0,0,1,0,56,1,Fiber optic,1,0,0,0,1,1,One year,1,Electronic check,100.55,3.0,4.0
0,0,0,0,30,1,DSL,0,1,1,0,1,0,One year,1,Credit card (automatic),68.95,2.0,4.0
0,0,1,1,72,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),88.7,0.0,7.0
0,0,0,0,8,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.2,4.0,1.0
0,0,1,1,53,1,Fiber optic,1,1,1,1,0,1,Two year,1,Bank transfer (automatic),104.05,0.0,6.0
0,0,1,0,46,1,Fiber optic,0,1,1,0,1,0,One year,1,Electronic check,94.65,2.0,4.0
0,0,0,0,6,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,4.0,1.0
1,0,1,1,8,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.2,3.0,4.0
1,0,1,0,56,1,Fiber optic,0,1,0,0,1,1,One year,1,Electronic check,98.25,3.0,4.0
1,0,0,0,31,1,DSL,1,0,1,1,0,0,Month-to-month,0,Credit card (automatic),65.25,1.0,4.0
0,1,0,0,13,0,DSL,0,1,0,0,1,0,Month-to-month,1,Electronic check,59.9,3.0,3.0
0,0,1,1,40,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Credit card (automatic),110.1,1.0,6.0
0,1,1,0,59,1,Fiber optic,1,1,1,1,0,0,One year,1,Electronic check,94.05,0.0,5.0
0,0,1,1,50,0,Fiber optic,0,0,1,1,1,1,One year,0,Mailed check,103.05,2.0,5.0
1,0,1,1,2,No phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,24.4,4.0,0.0
0,0,0,0,46,1,DSL,1,0,1,0,1,1,Two year,0,Mailed check,79.2,2.0,5.0
0,0,0,1,18,1,DSL,1,0,0,0,0,1,Month-to-month,0,Electronic check,64.8,3.0,3.0
0,0,0,0,35,No phone service,DSL,0,0,1,1,0,0,Month-to-month,1,Mailed check,33.45,2.0,2.0
1,0,0,1,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.6,3.0,2.0
1,0,0,1,4,1,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Credit card (automatic),80.8,3.0,2.0
1,0,0,0,5,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,85.3,2.0,3.0
0,0,1,1,69,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,1.0,4.0
1,0,1,1,17,0,Fiber optic,0,0,0,0,1,0,Month-to-month,0,Electronic check,80.85,4.0,2.0
1,0,0,0,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),20.2,4.0,1.0
1,1,1,0,24,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.85,3.0,2.0
0,1,0,0,62,1,Fiber optic,0,0,0,0,1,0,One year,0,Electronic check,84.45,4.0,2.0
1,0,0,0,12,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),45.4,4.0,1.0
0,0,0,0,23,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.85,4.0,1.0
0,0,1,1,45,No phone service,DSL,1,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),50.9,3.0,3.0
0,0,0,0,9,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Credit card (automatic),85.3,3.0,3.0
1,0,1,0,4,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.35,4.0,2.0
0,0,0,0,24,0,Fiber optic,0,1,1,1,0,0,Month-to-month,1,Electronic check,85.95,1.0,4.0
0,0,1,0,71,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.95,4.0,1.0
1,0,0,0,2,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.15,4.0,1.0
0,0,1,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,18.8,4.0,1.0
1,0,0,0,10,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.6,3.0,4.0
0,0,0,0,2,No phone service,DSL,0,1,0,0,1,1,Month-to-month,0,Electronic check,51.4,3.0,3.0
0,0,0,0,67,0,DSL,1,1,0,1,0,0,One year,0,Credit card (automatic),60.5,1.0,4.0
0,0,1,1,7,0,DSL,1,1,1,0,1,0,One year,0,Electronic check,69.45,1.0,5.0
0,0,0,0,13,1,DSL,1,0,1,0,1,1,Month-to-month,1,Electronic check,78.75,2.0,5.0
0,0,0,0,57,1,Fiber optic,0,1,0,1,0,1,One year,0,Electronic check,94.7,2.0,4.0
0,1,1,0,36,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),91.95,3.0,3.0
0,0,0,0,66,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.05,0.0,7.0
0,0,0,0,22,1,DSL,1,0,0,1,0,0,Month-to-month,1,Mailed check,59.05,2.0,3.0
1,0,1,1,17,1,Fiber optic,1,0,1,0,1,0,Month-to-month,0,Electronic check,94.4,2.0,4.0
1,1,0,0,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,74.45,4.0,1.0
1,0,1,0,11,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.0,4.0,3.0
1,0,1,1,2,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),73.55,3.0,2.0
0,0,0,0,3,0,Fiber optic,0,1,0,0,1,1,Month-to-month,0,Electronic check,95.4,3.0,4.0
1,0,0,0,4,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),74.8,3.0,2.0
0,0,1,1,69,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.75,4.0,1.0
0,0,1,1,72,1,Fiber optic,1,1,1,1,0,1,Two year,1,Credit card (automatic),104.9,0.0,6.0
0,0,0,0,23,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.5,4.0,3.0
0,0,1,1,40,1,DSL,0,0,1,0,1,1,Month-to-month,1,Electronic check,74.55,3.0,4.0
0,0,0,0,70,1,DSL,1,1,1,0,1,1,Two year,0,Mailed check,84.7,1.0,6.0
0,1,1,0,70,1,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Electronic check,90.85,3.0,3.0
0,0,0,0,3,0,DSL,0,0,1,0,1,1,One year,1,Electronic check,69.95,3.0,4.0
0,0,0,0,69,1,Fiber optic,1,1,1,0,1,1,Two year,1,Credit card (automatic),110.05,1.0,6.0
1,0,0,0,6,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.5,4.0,3.0
0,0,0,0,72,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.0,0.0,7.0
0,0,1,0,67,1,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),86.15,1.0,6.0
1,1,1,0,40,0,Fiber optic,0,1,0,1,1,1,One year,1,Credit card (automatic),99.2,2.0,5.0
0,0,1,1,19,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.9,4.0,1.0
0,0,0,0,70,No phone service,DSL,0,0,0,1,0,1,Two year,1,Mailed check,40.05,3.0,2.0
0,0,0,0,21,0,DSL,1,1,0,1,1,0,Two year,0,Credit card (automatic),71.05,1.0,5.0
1,1,1,0,32,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.9,2.0,5.0
0,1,1,1,29,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,103.95,3.0,4.0
0,0,0,0,29,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.2,4.0,1.0
0,0,1,0,25,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,95.15,3.0,4.0
1,1,0,0,55,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,98.8,3.0,4.0
0,0,1,0,55,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),103.65,2.0,5.0
1,0,0,1,2,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.2,4.0,3.0
0,0,0,0,2,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),20.7,4.0,1.0
1,0,0,0,62,1,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,96.75,3.0,4.0
0,0,0,1,19,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.0,4.0,1.0
0,0,1,1,7,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.65,4.0,1.0
0,0,1,0,29,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),75.3,3.0,2.0
0,0,1,0,29,No phone service,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,4.0,1.0
1,0,0,0,12,0,Fiber optic,1,0,1,0,0,0,Month-to-month,0,Bank transfer (automatic),81.7,2.0,3.0
0,0,0,1,50,0,DSL,1,0,1,1,1,0,One year,1,Credit card (automatic),70.8,1.0,5.0
